match_number,home_team,away_team,lean_score,lean_label,confidence,home_rating,away_rating,home_win_probability,draw_probability,away_win_probability,model_summary,environment_note,pre_match_status,pre_match_updated_at,evidence_summary,pre_match_sources,factor_breakdown
16,Belgium,Egypt,23,倾向 Belgium,低,84,68,49,30,21,静态硬实力 84:68；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 49% / 30% / 21%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 23.2}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
17,France,Senegal,28,倾向 France,中,93,74,51,30,19,静态硬实力 93:74；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 51% / 30% / 19%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 27.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
18,Iraq,Norway,-19,倾向 Norway,低,62,75,24,30,46,静态硬实力 62:75；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 24% / 30% / 46%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -18.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
19,Argentina,Algeria,39,倾向 Argentina,中,94,67,56,30,14,静态硬实力 94:67；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 56% / 30% / 14%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 39.1}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
20,Austria,Jordan,23,倾向 Austria,低,76,60,49,30,21,静态硬实力 76:60；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 49% / 30% / 21%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 23.2}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
21,Ghana,Panama,7,接近均势,低,67,62,39,30,31,静态硬实力 67:62；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 39% / 30% / 31%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 7.2}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
22,England,Croatia,12,倾向 England,低,90,82,42,30,28,静态硬实力 90:82；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 42% / 30% / 28%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 11.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
23,Portugal,Congo DR,35,倾向 Portugal,中,88,64,54,30,16,静态硬实力 88:64；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 54% / 30% / 16%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 34.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
24,Uzbekistan,Colombia,-27,倾向 Colombia,中,63,80,19,30,51,静态硬实力 63:80；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 19% / 30% / 51%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -24.6}, {""factor"": ""主场/海拔"", ""value"": -2}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
25,Czechia,South Africa,9,接近均势,低,71,65,43,26,31,静态硬实力 71:65；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 43% / 26% / 31%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 8.7}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
26,Switzerland,Bosnia and Herzegovina,17,倾向 Switzerland,低,78,66,48,26,26,静态硬实力 78:66；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 48% / 26% / 26%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 17.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
27,Canada,Qatar,15,倾向 Canada,低,71,64,47,26,27,静态硬实力 71:64；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 47% / 26% / 27%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 10.2}, {""factor"": ""主场/海拔"", ""value"": 5}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
28,Mexico,Korea Republic,9,接近均势,低,76,74,43,26,31,静态硬实力 76:74；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 43% / 26% / 31%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 2.9}, {""factor"": ""主场/海拔"", ""value"": 6}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
29,Brazil,Haiti,45,倾向 Brazil,高,89,58,62,26,12,静态硬实力 89:58；25C / 湿度36%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 62% / 26% / 12%。,25C / 湿度36%（Open-Meteo forecast）,等待赛前资料,2026-06-19T22:12:50+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760444/haiti-brazil"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869150v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 44.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
30,Scotland,Morocco,-16,倾向 Morocco,低,70,81,27,26,47,静态硬实力 70:81；25C / 湿度38%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 27% / 26% / 47%。,25C / 湿度38%（Open-Meteo forecast）,等待赛前资料,2026-06-19T18:35:51+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760445/morocco-scotland"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869151v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": -15.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
31,Turkiye,Paraguay,4,接近均势,低,73,70,40,26,34,静态硬实力 73:70；16C / 湿度86%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 40% / 26% / 34%。,16C / 湿度86%（Open-Meteo forecast）,等待赛前资料,2026-06-19T22:12:50+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760443/paraguay-turkiye"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869155v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 4.3}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
32,United States,Australia,12,倾向 United States,低,77,72,45,26,29,静态硬实力 77:72；23C / 湿度54%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 45% / 26% / 29%。,23C / 湿度54%（Open-Meteo forecast）,等待赛前资料,2026-06-19T18:35:51+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760442/australia-united-states"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1867426v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 7.2}, {""factor"": ""主场/海拔"", ""value"": 5}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
33,Germany,Cote d'Ivoire,22,倾向 Germany,低,87,72,51,26,23,静态硬实力 87:72；24C / 湿度39%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 51% / 26% / 23%。,24C / 湿度39%（Open-Meteo forecast）,等待赛前资料,2026-06-20T17:59:14+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760448/ivory-coast-germany"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869160v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 21.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
34,Ecuador,Curacao,20,倾向 Ecuador,低,73,59,48,29,23,静态硬实力 73:59；29C / 湿度49%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 48% / 29% / 23%。,29C / 湿度49%（Open-Meteo forecast）,等待赛前资料,2026-06-20T21:57:22+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760446/curacao-ecuador"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869161v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 20.3}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.3}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 3.0}]"
35,Netherlands,Sweden,16,倾向 Netherlands,低,86,75,47,26,27,静态硬实力 86:75；27C / 湿度89%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 47% / 26% / 27%。,27C / 湿度89%（Open-Meteo forecast）,等待赛前资料,2026-06-20T13:09:06+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760447/sweden-netherlands"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869167v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 15.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
36,Tunisia,Japan,-16,倾向 Japan,低,66,77,27,26,47,静态硬实力 66:77；24C / 湿度88%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 27% / 26% / 47%。,24C / 湿度88%（Open-Meteo forecast）,等待赛前资料,2026-06-20T21:57:22+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760449/japan-tunisia"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869168v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": -15.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
37,Uruguay,Cabo Verde,31,倾向 Uruguay,中,83,61,52,31,17,静态硬实力 83:61；32C / 湿度62%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 52% / 31% / 17%。,32C / 湿度62%（Open-Meteo forecast）,等待赛前资料,2026-06-21T21:59:30+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760450/cape-verde-uruguay"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869180v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 31.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.5}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 5.0}]"
38,Spain,Saudi Arabia,33,倾向 Spain,中,91,68,57,26,17,静态硬实力 91:68；27C / 湿度66%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 57% / 26% / 17%。,27C / 湿度66%（Open-Meteo forecast）,等待赛前资料,2026-06-21T10:54:50+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760453/saudi-arabia-spain"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869179v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 33.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
39,Belgium,IR Iran,22,倾向 Belgium,低,84,69,51,26,23,静态硬实力 84:69；25C / 湿度53%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 51% / 26% / 23%。,25C / 湿度53%（Open-Meteo forecast）,等待赛前资料,2026-06-21T16:56:50+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760451/iran-belgium"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869173v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 21.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
